,Precision@5,Precision@10,Precision@20,Precision@50,Recall@5,Recall@10,Recall@20,Recall@50,F1-Score@5,F1-Score@10,F1-Score@20,F1-Score@50,MAP,MRR,nDCG@5,nDCG@10,nDCG@20,nDCG@50
TF-IDF,1.0,0.54,0.295,0.118,0.8798,0.9357,1.0,1.0,0.9281,0.6789,0.4523,0.2103,0.9774,1.0,1.0,0.958,0.9935,0.9935
Cosine Similarity,1.0,0.57,0.295,0.118,0.8798,0.975,1.0,1.0,0.9281,0.7129,0.4523,0.2103,0.9932,1.0,1.0,0.984,0.9982,0.9982
Boolean AND,0.8,0.4,0.2,0.08,0.7038,0.7038,0.7038,0.7038,0.7425,0.5059,0.3095,0.1432,0.7038,1.0,0.8688,0.7988,0.7988,0.7988
